time,latitude,longitude,depth,mag,net
2014-04-06T00:32:05.280Z,38.8185005,-122.8143311,3.8,0.45,nc
2014-04-06T00:31:25.000Z,62.2198,-149.6827,27.1,1.3,ak
2014-04-06T00:23:35.000Z,33.1558,-116.4492,14.2,1.3,ci
2014-04-06T00:21:43.190Z,38.8115005,-122.817337,2.92,0.9,nc
2014-04-06T00:17:32.400Z,39.4362,-122.926,8.9,2.2,nc
2014-04-06T00:15:06.200Z,36.5358,-121.1217,2.9,1.7,nc
2014-04-06T00:09:16.700Z,38.8193,-122.8128,3.8,0.4,nc
2014-04-06T00:04:42.000Z,62.7918,-150.9328,46,1.4,ak
2014-04-06T00:02:17.800Z,33.1565,-116.4498,15.2,1.1,ci
2014-04-06T00:00:39.000Z,33.1578,-116.4713,11.5,3,ci
2014-04-05T23:55:14.000Z,62.6276,-148.855,57.4,0.6,ak
2014-04-05T23:35:42.000Z,38.83,-122.868,3.6,0.8,nc
2014-04-05T23:29:57.800Z,19.3437,-155.2205,7.6,2.9,hv
2014-04-05T23:28:46.820Z,-2.6768,138.3322,46.82,4.4,us
2014-04-05T22:57:19.700Z,40.2483,-121.1587,0,2.4,nc
2014-04-05T22:53:42.400Z,38.8175,-122.8172,2.8,0.5,nc
2014-04-05T22:44:50.100Z,38.8093,-122.8127,2.6,1.3,nc
2014-04-05T22:31:40.000Z,59.8657,-149.9713,51.4,2.7,ak
2014-04-05T22:11:38.000Z,57.2225,-153.637,41,2.5,ak
2014-04-05T22:03:03.600Z,36.6867,-121.3007,11.1,1.2,nc
2014-04-05T22:01:01.300Z,37.4313,-121.7743,8.9,1.8,nc
2014-04-05T21:47:53.400Z,33.4958,-116.5045,15.8,1.2,ci
2014-04-05T21:40:33.800Z,33.8963,-117.9617,1,1.7,ci
2014-04-05T21:09:23.400Z,35.4006,-92.2082,2.4,2,nm
2014-04-05T21:00:00.300Z,40.244,-121.1638,0.1,2.6,nc
2014-04-05T20:58:48.500Z,40.2502,-121.1635,11.1,2,nc
2014-04-05T20:48:35.000Z,60.3111,-152.9659,100,2.9,ak
2014-04-05T20:32:25.000Z,61.668,-148.1046,18.7,1.7,ak
2014-04-05T20:28:57.000Z,62.953,-150.6995,100,1.4,ak
2014-04-05T20:02:54.300Z,38.8183,-122.8125,4.1,0.5,nc
2014-04-05T19:52:57.600Z,38.8435,-122.8267,2.4,1,nc
2014-04-05T19:50:08.000Z,61.1869,-149.9218,41.9,1.6,ak
2014-04-05T19:46:41.960Z,37.6355019,-118.8256683,3.59,1.65,nc
2014-04-05T19:27:09.400Z,36.5637,-121.1617,6.7,2.1,nc
2014-04-05T19:09:48.400Z,38.8375,-122.8252,2.4,0.6,nc
2014-04-05T19:03:05.500Z,33.2618,-116.1018,6.6,1.5,ci
2014-04-05T18:48:36.580Z,-19.7024,-71.2412,15.92,4.1,us
