LatDegree,LongDegree,OtherName
19.80583,-155.99667,Casey
19.26,-155.48389,Ipuu Ridge Tun
19.26333,-155.50056,Double Arch Tunn
19.26333,-155.49861,Mudflow 3 Tunnel
19.26278,-155.49944,Mudflow Tunnel
19.25222,-155.5025,Kaalaala Gu Tunn
19.27,-155.49556,Weda 3 Tunnel
19.27639,-155.49861,Weda 1 Tunnel
19.27611,-155.49806,Weda 2 Tunnel
19.275,-155.49778,Heio Tunnel
19.27528,-155.49861,Fault Tunnel
19.27139,-155.4975,Noguchi 1 Tunnel
19.27,-155.51056,Piikea Gul Tun 1
19.26778,-155.50833,Piikea Gul Tun 2
19.26722,-155.49778,Mudflow Tun 2
19.275,-155.49944,Noguchi Mauka Tu
19.2725,-155.49778,Noguchi 2 Tunnel
19.02194,-155.6625,Kau Expl.
19.04667,-155.66583,Kau Citrus 1
19.04611,-155.76444,Kahuku
19.03944,-155.79,FMT 1
19.06,-155.59278,Naalehu
19.05944,-155.66306,South Point Tank
19.0775,-155.6075,Kapuna Tunnel
19.07889,-155.61222,Tanaka Tunnel
19.07528,-155.61556,Waiohinu
19.06972,-155.61833,Waiohinu Expl
19.07778,-155.75944,HOVE
19.09139,-155.54861,Honuapo Mill
19.09667,-155.5475,Honuapo 1
19.09611,-155.54778,Honuapo 3
19.08611,-155.61222,Kahilipali Tun
19.08778,-155.62139,Haao Tunnel
19.08889,-155.765,Hawaiian Ocean View
19.0975,-155.54694,Honuapo 2
19.13806,-155.505,Punaluu
19.13972,-155.50056,Punaluu TH-2
19.13833,-155.51694,Ninole Gu TH-1
19.13917,-155.51611,Ninole A
19.13917,-155.51639,Ninole B
19.14639,-155.54861,Makanau Tun 2
19.14528,-155.61028,Old Mtnhouse Tun
19.14778,-155.555,Makanau Tun 1
19.15528,-155.61306,New Mtnhouse Tun
19.16194,-155.88472,Okoe
19.16889,-155.53944,Ninole-Wailau 3
19.17139,-155.55028,Ninole
19.16972,-155.55556,Ninole-Wailau 1
19.16917,-155.58944,Vischer Tunnel
19.19611,-155.4775,Pahala Shaft
19.1825,-155.46833,Palima
19.18417,-155.49389,Pahala
19.18194,-155.60167,Plantn Spr Tun
19.1925,-155.90472,Milolii-Hceoc
19.20389,-155.48667,Pahala 1
19.20389,-155.48667,Pahala Deep 2
19.21,-155.49083,H Brothers
19.20694,-155.48972,Pahala Deep 2A
19.21111,-155.53417,Kaumaikeohu Tun
19.2075,-155.89833,Milolii 1
19.20889,-155.8975,Milolii 2
19.22861,-155.51833,Alili Tunnel
19.21417,-155.54389,Kaumaikeohu Tun
19.22667,-155.54917,Moaula Gluch Tunnel
19.21694,-155.55083,Moaula Trib Tunnel
19.21444,-155.54778,Fukuda Tunnel
19.22861,-155.55139,Shirakura Tunnel
19.27528,-155.87528,Opihihale
19.28333,-155.49583,Makakupu Tun 1
19.28417,-155.49611,Makakupu Tun 2
19.285,-155.5025,Makua Rch Tun
19.2825,-155.49944,Weda 2 Tun 1
19.28306,-155.50083,Horita Tunnel
19.31944,-155.88361,Kaohe 2 S Kona
19.33694,-155.87222,Maunaoni
19.34889,-155.03389,Pulama
19.3925,-155.28639,Haw Vol Nat Pk
19.38778,-155.90278,Kealia-O'Shea
19.39861,-154.925,Epperson
19.39944,-154.92056,Kakela Akai
19.39833,-154.92833,Benko
19.40139,-154.92111,Kalapik Well
19.41278,-154.95222,Keauohana 1
19.41306,-154.95194,Keauohana 2
19.42667,-155.90333,Honaunau S Kona
19.44306,-155.88611,Keei C
19.44667,-154.92278,Ashida No. Geo
19.43972,-154.94333,Puna Therml TH 1
19.43944,-154.94389,Puna Therml TH 2
19.45889,-155.24583,Volcano TH-4
19.4475,-155.23944,Volcano TH5
19.4475,-155.23944,Volcano A
19.46167,-155.25528,Volcano TH2
19.46222,-155.24778,Volcano TH 3
19.45556,-155.89194,Keei A
19.45306,-155.89111,Keei B
19.46222,-155.88028,Keei D
19.4575,-155.9175,Napoopoo
19.45222,-154.84917,Mary's Well
19.45472,-154.88083,Malama Ki
19.46444,-155.25056,Volcano TH-1
19.46444,-155.25056,Volcano B
19.47028,-155.91806,Napoopoo
19.46889,-154.85,Pohoiki Puna
19.47222,-154.8925,Hgp-A Geo
19.46806,-154.88972,Lanipuna 1 Geo
19.47667,-154.89139,Kapoho St 1 Geo
19.47889,-154.88667,Kapoho St 2
19.47583,-154.88167,Lanipuna 6 Geo
19.47694,-154.89083,Kapoho St. 1-A
19.47361,-154.88889,Puna Geo MW2
19.49194,-154.81972,Vacationland #1
19.49278,-154.82056,Vacationland #2
19.49333,-154.82028,Vacationland #3
19.49278,-154.82111,Vacationland #4
19.49194,-154.81972,Vacationland 1A
19.49278,-154.82056,Vacationland 2A
19.49333,-154.82028,Vacationland 3A
19.49278,-154.82111,Vacationland 4A
19.4925,-154.82417,Moana 1
19.48389,-154.87917,Puna Therml TH 3
19.4825,-154.89139,Kapoho PGV MW1
19.48306,-154.89167,Kapoho PGV MW3
19.48694,-154.94361,Pahoa A
19.48667,-154.94389,Pahoa B
19.47917,-154.95944,Keonepoko Iki
19.50694,-155.17028,Flagg 1
19.50917,-155.91278,Kalukalu
19.51194,-155.93528,Hokukano 1
19.5075,-155.95,Hokukano Mon 2
19.50139,-154.83639,Kapoho Crater
19.50361,-154.86361,Kapoho Airstrip
19.50778,-154.8525,Puna Therml TH 4
19.4975,-154.97944,Makuu
19.52333,-155.29556,Kulani Prison
19.5175,-155.89583,Hokukano Ranch
19.5275,-155.88639,Hokukano Ranch 2
19.51889,-155.91611,Kealakekua Obs.
19.51806,-155.91611,Halekii
19.51778,-155.92972,Hokukano 3
19.51944,-155.9375,Hokukano 2
19.52611,-155.95389,Hokukano Mon 1
19.52222,-154.84694,Morningstar
19.52056,-154.84972,Glocamora
19.5175,-154.92972,Hawaiian Shores 1
19.52111,-154.92611,Hawaiian Shores 2
19.51778,-154.92972,Rainbow Serpent
19.51528,-154.96472,Keonepoko Nui 1
19.51472,-154.96472,Keonepoko Nui 2
19.53722,-155.11028,Mt View TH 8
19.53528,-155.125,Mt View TH 2
19.54611,-155.12917,Mt View TH 3
19.54583,-155.12,Mt View TH 9
19.54417,-155.11972,Olaa-Mt. View
19.53833,-155.92194,Kainaliu Obs.
19.53278,-155.92472,Kainaliu Test
19.54472,-155.9575,Honalo Kai
19.54722,-154.86556,Kai Puka
19.54806,-155.10833,Mt View TH 7
19.55722,-155.10222,Olaa 6
19.56028,-155.13639,Mt View TH 4
19.55806,-155.92944,Keauhou-Kam 2
19.55722,-155.92944,Keauhou-Kam 3
19.55917,-155.92944,Keauhou-Kam 4
19.56194,-155.95444,Keauhou 2
19.55028,-155.95167,Keauhou-Kona C C
19.56389,-154.89389,Gadler
19.56361,-154.90556,Mydell
19.55306,-154.97028,Moreira
19.55778,-154.99417,Keaau-Pahoa Rd
19.55528,-154.98889,Diamond
19.56694,-155.10778,Mt View TH 6
19.56833,-155.94389,Keauhou B
19.57556,-155.96167,Keauhou 1
19.57417,-155.95083,Keauhou A
19.575,-155.95806,Keauhou Irr 3
19.57917,-155.95917,Kahaluu Deep Monitor
19.57694,-154.92194,Silverstein
19.57778,-154.94028,Golden
19.58139,-154.93778,Campbell
19.57722,-154.94806,Woody
19.58222,-154.94083,Lagadon
19.57611,-154.94611,Makuu Ranch
19.58167,-154.94083,Kaylee
19.57472,-154.94556,Lopaka Wai Puka
19.57944,-154.95694,Bloemen
19.57806,-154.95444,Luawai
19.58278,-154.96528,# 242
19.56861,-154.9525,Rapaczville
19.58028,-154.97194,The Shack
19.57583,-154.99639,Rozett
19.585,-155.01083,Wai Pahoehoe
19.58139,-154.99833,Nichols
19.59333,-155.07139,Mt View TH 10
19.59583,-155.09167,Mt View TH 1
19.59472,-155.085,Puna Cert Nursery 1
19.58083,-155.14528,Mt View TH 5
19.58306,-155.94972,Kahaluu A
19.58167,-155.94972,Kahaluu B
19.58278,-155.94944,Kahaluu C
19.58139,-155.94917,Kahaluu D
19.58139,-155.95389,Kahaluu Shaft
19.59389,-155.96722,Keauhou-Robertson
19.58889,-154.92889,Makuu I
19.58972,-154.92778,Makuu II
19.595,-154.93306,My Dream
19.59333,-154.93306,Malat
19.59389,-154.9325,Puna Tiki
19.59472,-154.93278,All End's
19.59611,-154.94111,Shea
19.58917,-154.93972,Dennis
19.59833,-154.94056,Mika 1
19.59028,-154.94194,OH
19.59833,-154.94417,Family
19.59583,-154.93528,Waipuilani
19.60639,-154.9675,Helenihi
19.59917,-154.94139,B Bells
19.59167,-154.93611,T Moore
19.59306,-154.93444,Erickson
19.58694,-154.94083,Deeter
19.58944,-154.94,Piilani
19.59111,-154.93806,Merlin Mac
19.59722,-154.95028,Monica II
19.59472,-154.93389,Rainbow
19.595,-154.93667,Kodhi
19.59667,-154.94111,Hale Akala
19.59139,-154.94111,End's Well
19.59556,-154.93472,Aunty Jan
19.59861,-154.94389,Hala Kahili
19.59222,-154.94722,Isle of Lombard
19.59556,-154.93472,Marilyn
19.59917,-154.94611,Barkley
19.59667,-154.93694,Menehune
19.59694,-154.93861,Dylan & Phoenix
19.59611,-154.93778,Zam Zam
19.59083,-154.93806,Puhau Wai
19.595,-154.94389,Tinkertot 1
19.59806,-154.9425,Jones
19.59639,-154.93694,La Pali
19.58056,-154.96306,Newman's Nursery
19.59194,-154.95194,Hwn Par Pk-Olmst
19.58306,-154.9475,Bazin
19.59528,-154.965,Marietta
19.59028,-154.96056,Hendershot 2
19.59889,-154.95889,Oliver
19.59111,-154.97194,Makai
19.59694,-154.96611,Akana
19.59528,-154.95083,Jazzy Rose
19.59278,-154.96278,Ghiotto
19.59194,-154.95194,Audrey
19.59,-154.95611,Daisy
19.59472,-154.94917,El Diablo
19.59333,-154.97333,Hawn Paradise 1
19.59556,-154.97528,Jobst
19.59444,-154.97083,Chong-Tim
19.59139,-154.97,Molly-Anne
19.59028,-154.99389,Keaau-Hay
19.58528,-154.98833,R & B
19.60583,-155.05111,Olaa 3
19.61278,-155.95194,Holualoa
19.60194,-155.94778,Pahoehoe
19.59722,-154.94,McDonald
19.61639,-154.94694,Connie
19.61139,-154.95,Gibson
19.60611,-154.95,Ariel
19.60667,-154.95028,McWell
19.60667,-154.94778,Wishing
19.60667,-154.94833,Zaulocki
19.60972,-154.94889,McGauger
19.60306,-154.94694,Wohlschlagel
19.61694,-154.94667,Summer
19.60722,-154.94972,Beach House
19.60694,-154.94806,Trita Ganga
19.61278,-154.94861,Uli Kai
19.60417,-154.94889,White House
19.60611,-154.9475,Whosoever
19.60833,-154.94861,Feathers
19.61639,-154.94944,Stillwell
19.605,-154.94972,Well Spring
19.60833,-154.94833,Pellegrino
19.61167,-154.94944,Rob
19.60083,-154.94806,Oasis
19.60556,-154.94722,Revenaugh
